IPAddress,Day,Month,Year,HH,RequestType,API,StatusCode,Bytes,Refferer,UserAgent,ResponseTime,Browser,Os,Device
248.243.151.169,27,12,2037,12,POST,/usr/admin/developer,304,5011,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",845,Others,Linux,Mobile
253.63.110.83,27,12,2037,12,POST,/usr,500,4939,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",3144,Opera,Windows,Others
45.16.43.150,27,12,2037,12,POST,/usr/login,403,4966,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",2386,Opera,Linux,Mobile
105.55.249.89,27,12,2037,12,POST,/usr/admin/developer,500,5010,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",4333,Chrome,Linux,Mobile
96.146.6.47,27,12,2037,12,POST,/usr/register,502,4975,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",770,Chrome,Windows,Others
199.141.210.208,27,12,2037,12,POST,/usr/login,403,4939,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",4654,Chrome,Windows,Others
225.40.127.211,27,12,2037,12,POST,/usr,502,5107,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",3411,Opera,Windows,Others
175.28.101.45,27,12,2037,12,POST,/usr/login,200,4999,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",678,Others,Windows,Others
188.229.254.240,27,12,2037,12,POST,/usr/register,500,4985,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",1635,Safari,iOS,Mobile
206.79.40.58,27,12,2037,12,POST,/usr/admin,502,5007,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",1415,Safari,Mac OS,Others
40.159.147.128,27,12,2037,12,POST,/usr/admin,403,4957,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",448,Safari,Mac OS,Others
150.18.133.116,27,12,2037,12,POST,/usr/admin,403,4971,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",1575,Chrome,Windows,Others
108.93.244.222,27,12,2037,12,POST,/usr/register,304,5058,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",830,Safari,Mac OS,Others
247.114.72.176,27,12,2037,12,POST,/usr/login,403,5030,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",3805,Others,Linux,Mobile
182.117.95.42,27,12,2037,12,POST,/usr/login,500,5012,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",635,Opera,Linux,Mobile
122.92.104.60,27,12,2037,12,POST,/usr/login,502,4959,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",124,Opera,Linux,Mobile
124.59.179.31,27,12,2037,12,POST,/usr,303,5110,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",2660,Safari,iOS,Mobile
38.217.145.120,27,12,2037,12,POST,/usr,502,5040,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",3492,Opera,Windows,Others
27.253.168.193,27,12,2037,12,POST,/usr/register,500,4851,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",2093,Safari,iOS,Mobile
185.242.244.88,27,12,2037,12,POST,/usr/admin,200,5001,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",1577,Others,Windows,Others
112.83.135.224,27,12,2037,12,POST,/usr/admin,403,4980,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",246,Opera,Windows,Others
230.38.18.134,27,12,2037,12,POST,/usr,502,5018,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36",194,Chrome,Linux,Mobile
