IPAddress,RemoteLogName,UserID,Day,Month,Year,HH,RequestType,API,StatusCode,Bytes,Refferer,UserAgent,ResponseTime,Browser,Os,Device
248.243.151.169,-,-,27,12,2037,12,POST,/usr/admin/developer,304,5011,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121",845,Others,Linux,Mobile
78.58.155.45,-,-,27,12,2037,12,DELETE,/usr/admin/developer,500,5033,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",1781,Safari,iOS,Mobile
167.38.252.196,-,-,27,12,2037,12,PUT,/usr/admin/developer,200,4989,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",3730,Opera,Windows,Others
55.104.138.95,-,-,27,12,2037,12,GET,/usr/register,404,5049,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",2237,Opera,Linux,Mobile
166.153.240.131,-,-,27,12,2037,12,PUT,/usr/register,403,4981,http://www.lewis.com/main/list/explore/category.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,4353,Mozilla,Windows,Others
243.64.34.251,-,-,27,12,2037,12,DELETE,/usr/admin,403,4992,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0",2056,Others,Windows,Others
253.63.110.83,-,-,27,12,2037,12,POST,/usr,500,4939,http://www.lewis.com/main/list/explore/category.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",3144,Opera,Windows,Others
198.165.246.121,-,-,27,12,2037,12,DELETE,/usr/admin,500,4964,-,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749",1121,Opera,Linux,Mobile
210.86.133.56,-,-,27,12,2037,12,GET,/usr/admin,502,4981,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329",3798,Opera,Windows,Others
224.1.247.159,-,-,27,12,2037,12,PUT,/usr/login,200,5017,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",2676,Safari,iOS,Mobile
